titel;beschreibung;postleitzahl;stadt;zeit
['IKEA Garderobe zu verschenken'];['Nur heute abzuholen in Coerde'];48157;['Coerde'];20.08.2020 11:36
['Radio/CD-Player'];['Funktionstüchtiges Radio/CD-Player\u200b'];48143;['Centrum'];20.08.2020 11:32
['Kommode Schrank'];['Ich verschenke hier einen alten kleinen Schrank mit Schubladen. Ich weiß leider nicht wirklich, was...'];48161;['Gievenbeck'];20.08.2020 11:27
['Schreibtisch Retro Jahrhundertwende'];['Hallo', '', 'Ich verschenke hier einen alten Schreibtisch, der so um 1900 gebaut worden sein muss. Leider...'];48161;['Gievenbeck'];20.08.2020 11:16
['Kleiderschrank rot - zum Selbstabbauen 26./27.08.'];['Ich verschenke hier meinen Kleiderschrank in rot (ohne Inhalt natürlich).', 'Dazu gehören noch die...'];48151;['Geist'];20.08.2020 11:15
['Geschirrset zu verschenken'];['4-teiliges Geschirrset'];48167;['Gremmendorf'];20.08.2020 11:01
['Biete 6 gebrauchte umzugskartons an (nur heute und morgen)'];['Bieten hier 6 umzugskartons an. Diese wurden nur einmal benutzt und befinden sich in einem...'];48143;['Centrum'];20.08.2020 10:42
['Geländer/Rail ideal für Skatepark'];['Geländer/Rail ideal für Skatepark'];48147;['Centrum'];20.08.2020 10:37
['Zu verschenken: Diverses'];['Tesaroller', 'Mehrfachsteckdose', 'Weinglas', '2x Korkenzieher', 'Kopfhörer...'];48151;['Centrum'];20.08.2020 10:31
['Deko Laterne *Reserviert*'];['Abholung in der Nähe von York Center'];48149;['Sentrup'];20.08.2020 09:01
['Kosmetika zu verschenken'];['Lidschatten, Lip Gloss, ungeöffnetes Lip Balm, Alepposeife und ein Haarband', '', 'Haarkur ist leider...'];48161;['Gievenbeck'];20.08.2020 08:39
['Schönfelder Deutsche Gesetze'];['Stand: 15. Januar 2016 (163. Ergänzungslieferung)\u200b'];48147;['Centrum'];20.08.2020 08:06
['Schönfelder Ergänzungsband'];['Stand: 1. August 2018 (57. Ergänzungslieferung)\u200b'];48147;['Centrum'];20.08.2020 08:00
['Gästebett mit Schutz'];['Selten benutzt (2-3 Mal) zusammenklappbar mit Schutzüberzug und Matratze.', '', 'Selbstabholung in...'];48167;['Angelmodde'];20.08.2020 07:00
['! HALLO MÜNSTER! BITTE LESEN !'];['Ich suche auf diesem weg Pfandflaschen.', '', 'Falls Sie schon länger keine Lust mehr hatten ihr leergut...'];48155;['Centrum'];20.08.2020 02:06
['Suche kleinere Versandkartons'];['Suche einige kleinere gebrauchte Versandkartons. Bitte nicht wegwerfen. In Münster oder Rheine kann...'];48163;['Mecklenbeck'];20.08.2020 00:53
['Suche Fahrradlichthalter'];['Brauche Fahrradlichthalter, da mein Fahrrad geklaut wurde und ich jetzt Lichter ohne Halter...'];48155;['Centrum'];20.08.2020 22:59
['Hallo schönen guten Tag ich suche alte Teppiche zu verschenken'];['Wer welche hat würde mich freuen lg'];48167;['Gremmendorf'];20.08.2020 22:46
['Holzjalousie 155x150 cm'];['Holzjalousie in der Größe 155 cm x 150 cm zu verschenken (siehe Bilder).', '', 'Eine der Leisten ist...'];48149;['Centrum'];20.08.2020 22:23
['RESERVIERT Lattenrost 140x200cm'];['Lattenrost von Ikea.', 'Zu verschenken an Selbstabholer'];48151;['Centrum'];20.08.2020 22:15
['Sofa Sessel Hocker zu verschenken'];['Verschenke meine alte Couchgarnitur wegen Umzug.', 'Altersgemäße Gebrauchsspuren (siehe Fotos).', '', 'Nur...'];48143;['Centrum'];20.08.2020 21:53
['Hundebett XL'];['Hundebett mit benutzungsspuren abzugeben, nur an Selbstabholer und ohne Garantie'];48165;['Hiltrup'];20.08.2020 21:09
"['""Reserviert"" Lampe herzförmig']";['2 herzförmige Lampen abzugeben, funktionieren ( kann getestet werden) haben aber keine...'];48165;['Hiltrup'];20.08.2020 21:05
['Ikea Sideboard'];['Wurde Kreideweiß gestrichen und die Schubläden mit Klebefolie beklebt'];48151;['Centrum'];20.08.2020 20:34
['IKEA Regale'];['Ich möchte gebrauchte IKEA Regale verschenken. Gebrauchsspuren vorhanden, sie standen trotzdem bei...'];48159;['Kinderhaus'];20.08.2020 20:09
['Schlafzimmerschrank - Einzelstück v. 1960'];['Die beiden SchrankTeile sind aus hellem Holz und das Gesellenstück eines', 'Tischlers .', 'Höhe :...'];48159;['Kinderhaus'];20.08.2020 19:39
['Teppich/Läufer 80 cm breit braun 80x400 cm'];['Der Läufer ist abgesehen davon das er grade ein bisschen knittrig ist noch sehr gut in schuß, er...'];48143;['Centrum'];20.08.2020 19:33
['Tabaktasche gefunden'];['Hallo liebe Leute,', '', 'Ich habe heute in Handorf, Nähe Bürgerbad eine Tabaktasche gefunden. Wer mir...'];48157;['Handorf'];20.08.2020 19:27
['Braune Stiefel'];['Stiefel in braun'];48145;['Centrum'];20.08.2020 19:15
['Volvo C30 Original Fahrwerk Ersatzteil - Bitte Beschreibung lesen'];['Hallo Zusammen,', '', 'biete hier mein Volvo C30 Fahrwerk an, da ich ein Billstein B12 ProKit hab...'];48163;['Aaseestadt'];20.08.2020 19:12
['Mhd gerade abgelaufen'];['Von Juni bis Sept. diesen Jahres abgelaufen ist läuft ab. Da ich diese Lebensmittel sehr selten...'];48163;['Mecklenbeck'];20.08.2020 19:08
['Regalschrank'];['Verschenke dieses Regal. Gut erhalten.', 'Abholung in Senden 48308.'];48161;['Gievenbeck'];20.08.2020 18:04
['Logitech S 220'];['Gebrauchte S 220 stehen zum Verkauf'];48153;['Geist'];20.08.2020 16:46
['Baby Flasche Milch Trinkbecher nuk Avent Spielzeug RESERVIERT'];['Baby Equipment aus Tiefreiem Nichtraucher Haushalt', 'Zu verschenken!', 'Milchpulver natürlich neu und...'];48149;['Centrum'];20.08.2020 12:57
['Steine zu verschenken - reserviert bis fr-'];['Große und kleine Steine / Platten zu verschenken'];48155;['Mauritz'];20.08.2020 12:11
['Reserviert für Inga / Alte Dezimalwaage mit Gewichten'];['Alte gut erhaltene Dezimalwaage zu verschenken, mit einigen Gewichten.'];48159;['Kinderhaus'];20.08.2020 09:34
['Suche Ikea Kallax Regal 2x2 weiß'];['Ich suche Kallax Regal 2x2 weiss'];48153;['Centrum'];18.08.2020   2020-08-20
['Golf  VW Speed Zeitung Verschenken'];['Gebrauchte . Zeitungen . Die ältesten Ausgaben sind auf den Fotos zu Erkennen.', '206 Ausgaben an...'];48147;['Wienburg'];18.08.2020   2020-08-20
['Glas Tisch'];['Gut erhaltener esstisch'];48167;['Angelmodde'];18.08.2020   2020-08-20
"['1l Bierkrug Steingut von WTK ""Rathaus zu Münster""']";['Hiermit möchte ich gerne einen alten Bierkrug aus Steingut verschenken!!!!', 'Der Krug fasst einen...'];48147;['Centrum'];18.08.2020   2020-08-20
['Zu verschenken Steine Pflanzringe - reserviert bis fr-'];['Zu verschenken : kleine Steine, große Platten und Pflanzringe', '', 'Nur Abholung (Lütkenbeck)', '', 'Die...'];48155;['Mauritz'];18.08.2020   2020-08-20
"['""reserviert"" Schrank blau']";['Maße ca 140 x 85 x 40, Alter Schrank mit Gebrauchsspuren abzugeben, nur selber abbauen und abholen'];48165;['Hiltrup'];18.08.2020   2020-08-20
['Reserviert:Theke Hochzeit Gartenfest bis 20.8'];['Siehe Bilder... Mit Holzöl wetterfest gemacht.', '', '122 x 33 x 82 cm', '', 'An Selbstabholer zu zweit!!!! ,...'];48163;['Mecklenbeck'];18.08.2020   2020-08-20
['Alter Schreibtisch'];['2m lang (1,6m ohne das Verlängerungsteil)', '0,8m tief', '1,2m tief an der breiten Stelle der...'];48149;['Centrum'];18.08.2020   2020-08-20
['Staubsaugerbeutel verschieden'];['Verschiedene Staubsaugerbeutel zu verschenken!'];48143;['Centrum'];18.08.2020   2020-08-20
['Barhocker in grün'];['Schöner Barhocker höhenverstellbar..', 'Wie auf dem Foto zu sehen,ist er an der Ecke etwas kaputt.'];48159;['Centrum'];18.08.2020   2020-08-20
['Hundekuschel+Schlafplatz'];['Ich biete Hundekuschel-und Schlafplatz', 'für mittelgroße Hunde', 'Liegefläche: 68x75cm', 'Cremefarben mit...'];48163;['Geist'];17.08.2020   2020-08-20
['Sofa / Couch mit Schlaffunktion'];['Hat Gebrauchsspuren (s. Fotos) ist aber ansonsten voll funktionsfähig. Kissen sind alle...'];48161;['Gievenbeck'];16.08.2020   2020-08-20
['Lack Beistelltisch mit Rollen'];['Verschenke einen Beistelltisch der LACK-Reihe von IKEA. Circa 4 Jahre alt mit üblichen...'];48155;['Mauritz'];16.08.2020   2020-08-20
['Terassenplatten Gehwegplatten bis 30. August (reserviert )'];['Hallo, wir erneuern unsere Terasse und die alten Terassenplatten müssen weg. Die Platten haben die...'];48165;['Hiltrup'];16.08.2020   2020-08-20
['*verkauft* Chromschutzbleche 28 Zoll'];['Ein Satz Chromschutzbleche für 28 Zoll Räder. Breite ca. 55mm.', 'Haben schon einiges mitgemacht, ein...'];48151;['Aaseestadt'];12.08.2020   2020-08-20
['Modeschmuck schöne Mischung ❗'];['Habe ausgemistet und verkaufe meinen aussortierten Modeschmuck incl. funktionierender Uhr...'];48159;['Centrum'];12.08.2020   2020-08-20
['Wischmop/Bodenwischer'];['Schöner, voll funktionsfähiger Wischmop.', 'Wischaufsätze/-\u200bTücher gratis dazu'];48143;['Centrum'];12.08.2020   2020-08-20
['16 Bananenkartons zu verschenken'];['Am liebsten alle zusammen!'];48161;['Gievenbeck'];21.08.2020 18:21
['Grundig Tonbandkoffer TK8 zu verschenken'];['funktioniert, ein Treibriemen ist nicht original'];48159;['Kinderhaus'];21.08.2020 18:14
['Philips Zweikanaloszilloskop PM3217  50MHz  zu verschenken'];['funktioniert'];48159;['Kinderhaus'];21.08.2020 18:08
['Suche stuhl... Beschreibung lesen ...'];['Suche ein Stuhl so Änlich wie beim Bild', 'So aus Leder brauche sowas ähnliches bitte meldet euch bei...'];48147;['Centrum'];21.08.2020 17:12
['Fahrradtaschen zu verschenken'];['Diese zwei Fahrradtaschen sind zu verschenken. Sie haben uns lange Zeit treue Dienste geleistet,...'];48147;['Centrum'];21.08.2020 17:09
['Bücher und CD zu verschenken'];['Verschenke alle Bücher und CDs'];48147;['Centrum'];21.08.2020 17:02
['Bauknecht Waschmaschine'];['Moin!', '', 'Ich hab meine alte Waschmaschine zu verschenken.', 'Wäscht noch gut ist nur beim schleudern...'];48155;['Centrum'];21.08.2020 17:02
['Matratzen Camping'];['2 gebrauchte Campingmatratzen ca. 200 x 85 cm. zur Abholung am Dümmer See Hüde'];48161;['Nienberge'];21.08.2020 16:26
['Biete Arbeit gegen Wohnen'];['Hallo,', 'ich bin Akademiker und praktisch begabt, gute Umgangsformen,NR.', '', 'Ich suche im Kreis Münster...'];48143;['Centrum'];21.08.2020 16:14
['VHS Kino Cassetten . Originale verschenken .Bis Montag !'];['4 Bananen Karton s ca 150 VHS Casseten zum verschenken ,', 'gebrauchte . Aus einem Show Regal . ......'];48147;['Wienburg'];21.08.2020 16:14
['Roller longjia'];['Hallo, wer kann mir meinen roller reparieren? Zahle 10 Euro Stundenlohn bei Erfolg 25 Euro...'];48143;['Centrum'];21.08.2020 16:04
['Reserviert Gefütterte Regenjacke 98/104'];['Verschenke ne gefütterte Regenjacke 98/104 von impidimpi.', 'Kaputze abnehmbar.'];48155;['Mauritz'];21.08.2020 15:42
['Raclettegrill für 2 Personen zu verschenken'];['Nach vorheriger Absprache können Sie das Gerät am Sonntag, 23. August, zwischen 10 und 14 Uhr...'];48147;['Wienburg'];21.08.2020 15:37
['Besteck zu verschenken'];['Nach vorheriger Absprache können Sie das Set am Sonntag, 23. August, zwischen 10 und 14 Uhr...'];48147;['Wienburg'];21.08.2020 15:35
['Senseo Kaffeemaschine zu verschenken'];['Die Maschine ist älter und hat starke Gebrauchsspuren, sie funktioniert aber noch.', '', 'Nach vorheriger...'];48147;['Wienburg'];21.08.2020 15:34
['Etagere zu verschenken'];['Nach vorheriger Absprache können Sie die Etagere am Sonntag, 23. August, zwischen 10 und 14 Uhr...'];48147;['Wienburg'];21.08.2020 15:32
['Kannen zu verschenken'];['Nach vorheriger Absprache können Sie das Set am Sonntag, 23. August, zwischen 10 und 14 Uhr...'];48147;['Wienburg'];21.08.2020 15:29
['Neue Matratze 90×200cm zu verschenken'];['Ich kann auf der neuen Matratze leider nicht liegen.'];48157;['Handorf'];21.08.2020 15:16
['Geschirrset (Nr. 3) zu verschenken'];['Nach vorheriger Absprache können Sie das Geschirr am Sonntag, 23. August, zwischen 10 und 14 Uhr...'];48147;['Wienburg'];21.08.2020 15:16
['Geschirrset (Nr. 2) zu verschenken'];['Nach vorheriger Absprache können Sie das Geschirr am Sonntag, 23. August, zwischen 10 und 14 Uhr...'];48147;['Wienburg'];21.08.2020 15:15
['Geschirr gebraucht.'];['RESERVIERT', 'Große Teller in ganz gutem Zustand, da nicht oft gebraucht.', 'Der Rest des Geschirrs ist...'];48167;['Angelmodde'];21.08.2020 15:11
['Kerzen und Wachsreste'];['Die die kreativen Leute unter uns.. Schmelzen und neue Kerzen herstellen. Mit fehlt aktuell leider...'];48163;['Mecklenbeck'];21.08.2020 15:07
['Zwei Pizzateller *RESERVIERT“'];['Neu und ovp'];48165;['Hiltrup'];21.08.2020 14:49
['Babyschuhe gefüttert'];['Neu und ovp.'];48165;['Hiltrup'];21.08.2020 14:49
['Pokémon go'];['Moin, ich suche aktive Pokémon go Spieler, Team Rot, die mit mir spielen wollen. Trainer Level...'];48165;['Hiltrup'];21.08.2020 14:28
['Erdaushub zum verfüllen zu verschenken. Selbstabholung.'];['Erdaushub zum verfüllen zu verschenken.', 'Selbstabholung.'];48165;['Hiltrup'];21.08.2020 13:46
['Sandkasten mit Sand ohne das abgebildete Spielzeug'];['wir möchten zwecks Umzug unseren geliebten Sandkasten verschenken - nur an Selbstabholer und...'];48145;['Mauritz'];21.08.2020 13:27
['Suche: Auto- Kindersitz 5-Punkt-Gurt'];['Wir suchen für die Teilhabe von Kindern, die nicht selbstständig sitzen können, ausrangierte...'];48167;['Angelmodde'];21.08.2020 13:24
['Coca Cola Gläser - verschiedene'];['Biete Coca Cola Gläser aus verschiedenen Serien von McDonalds', 'Nur Abholung, nur heute!'];48161;['Roxel'];21.08.2020 13:16
['Kinderbücher für 2 Jährigen gesucht'];['Mei Sohn liebt Bücher, daher suche ich immer wieder Kinderbücher. Er ist 2 Jahre alt.'];48145;['Mauritz'];21.08.2020 13:11
['Weißes Ikea Bett 160x200'];['Mein altes Bettgestell von Ikea hat ausgedient.', 'Wer es möchte und noch Verwendung dafür hat, kann...'];48149;['Centrum'];21.08.2020 13:03
['Flohmarkt Kiste'];['Tolle Kiste mit Taschen, Spielen, Deko, Hausrat usw zu verschenken an Selbstabholer'];48161;['Roxel'];21.08.2020 12:58
['Panasonic TH-37PV71FA DEFEKT abzuholen'];['Hallo,', 'ich verschenke einen defekten Panasonic TH-37PV71FA, er ist bei einem Umzug heruntergefallen...'];48143;['Centrum'];21.08.2020 12:20
['Unterstellböcke'];['2 Unterstellböcke gegen 2 Pakete Kaffee für eine soziale Einrichtung.'];48145;['Mauritz'];21.08.2020 11:44
['Nitrophoska'];['Stickstoff-Kali-star\u200bker Volldünger'];48145;['Mauritz'];21.08.2020 11:40
['Herlitz Schreibtischunterlage - Weltkarte'];"['Untere Ecken der ""Zettelhalterst\u200breifen"" sind leicht eingerissen (siehe Bilder) aber...']";48145;['Mauritz'];21.08.2020 11:40
['„David Beckham - mein Leben“ zu verschenken'];['Leider fehlt der Umschlag zum Buch.', '', 'Abholung nur in Münster-Hiltrup!'];48165;['Hiltrup'];21.08.2020 11:27
['Praxisbezogenes Rechnen PTA'];['Nur Abholung in Münster-Hiltrup!'];48165;['Hiltrup'];21.08.2020 11:21
['Weißer Schrank zu verschenken'];['Verschenke meinen alten Ikea Schrank.', 'Durch Umzüge hat er deutliche Gebrauchsspuren, erfüllt aber...'];48145;['Mauritz'];21.08.2020 10:57
['Mein Gazelle Damenrad in dunkelblau!!!'];['Irgendjemand hat es direkt vor meiner Haustür in der Nacht zum 21. August 2020 mitgenommen. Ich...'];48161;['Gievenbeck'];21.08.2020 10:41
['Diverse ältere Jura Bücher zu verschenken'];['Alle Bücher sind in einem guten Zustand. Alles ältere Auflagen, deswegen sollen sie verschenkt...'];48145;['Centrum'];21.08.2020 10:30
['ALTE  BETTDECKEN'];['Wer kann evt. 1,2 ältere aber heile bettdecken -140×200- gebrauchen?', 'Vielleicht Tierheim etc.', 'Bei...'];48165;['Hiltrup'];21.08.2020 10:19
"['Aufkleber-Set ""Achtung Kippgefahr!"" - Schäper Sportgerätebau GmbH']";"['ACHTUNG KIPPGEFAHR!', '', 'Auch im letzten Jahr ""kippte"" so manches Tor bzw. verletzte sich so...']";48161;['Roxel'];21.08.2020 09:57
['Chirurgie für Pflegeberufe'];['Ausgabe von 2009'];48151;['Centrum'];21.08.2020 09:53
['Pflege heute'];['Etwas ältere Ausgabe von 2007'];48151;['Centrum'];21.08.2020 09:51
"['Katalog ""Spielfelder"" - Schäper Sportgerätebau GmbH']";['Sie sind an unseren Soccer-Courts interessiert? Gerne schicken wir Ihnen kostenlos unseren Katalog...'];48161;['Roxel'];21.08.2020 09:41
"['Katalog ""Leichtathletik"" - Schäper Sportgerätebau GmbH']";['Sie sind an unseren Leichtathletik-Produ\u200bkten interessiert? Gerne schicken wir Ihnen kostenlos...'];48161;['Roxel'];21.08.2020 09:37
"['Katalog ""Ballsport 2"" - Schäper Sportgerätebau GmbH']";['Sie sind an unseren Ballsport-Produkten interessiert? Gerne schicken wir Ihnen kostenlos unseren...'];48161;['Roxel'];21.08.2020 09:33
"['Katalog ""Ballsport 1"" - Schäper Sportgerätebau GmbH']";['Sie sind an unseren Produkten im Fußballbereich interessiert? Gerne schicken wir Ihnen kostenlos...'];48161;['Roxel'];21.08.2020 09:26
['Gesamtkatalog - Schäper Sportgerätebau GmbH'];['Sie sind an unseren Produkten interessiert? Gerne schicken wir Ihnen kostenlos unseren...'];48161;['Roxel'];21.08.2020 09:19
['frische äpfel obst - fest sauer mittlere baumgröße'];['sehr viele äpfel noch am baum drann. einige unterm baum', 'zu schade um alle auf den kompost zu...'];48167;['Wolbeck'];21.08.2020 08:46
['Rheinsand 0-8 mm ca 200kg zu verschenken'];['Ich verschenke hier ca 250 kg (3,5 Gartensäcke) Rheinsand 0-8 ....', '', '', 'Dieses ist eine Privat...'];48161;['Gievenbeck'];21.08.2020 08:29
['Einbau Kühlschrank / Gefrierschrank'];['Ich verschenke meinen alten Kühl-und Gefrierschrank.', 'Der Gefrierschrank kühlt optimal und weist...'];48167;['Gremmendorf'];21.08.2020 06:55
['Verschenke defekte Waschmaschine'];['Siemens 14-44 an Bastler zu verschenken.', 'Abzuholen in Münster-Albachten.'];48163;['Albachten'];21.08.2020 04:56
['Creme Kosmetik Tagespflege'];"['Ich verschenke drei Kosmetikartikel (zusammen!) in Gievenbeck.', ""-Tagescreme Anti-Aging L'Oréal...""]";48161;['Gievenbeck'];21.08.2020 23:18
['IKEA Laptoptisch / Betttisch / Tablett mit Punkten'];['Gegen eine kleine Spende abzugeben :) Abholung in 48155 Münster'];48155;['Centrum'];21.08.2020 23:16
['DVD Die Entdeckung der Unendlichkeit Eddie Redmayne FelicityJones'];['Gegen eine kleine Spende abzugeben :) Nur Abholung!'];48155;['Centrum'];21.08.2020 23:01
['Suche Kerzenreste'];['Suche Kerzenreste :)'];48157;['Coerde'];21.08.2020 22:12
['Suche Sofa oder Stühle für draußen/in Münster'];['Wer verschenkt Sofa oder Stühle für draußen, z.B. Rattanmöbel, oder ähnliches,was Wettergeeignet...'];48165;['Hiltrup'];21.08.2020 21:26
['Taschen zu verschenken'];['3 Taschen zu verschenken.', 'Tasche 1 und 3 reserviert.'];48143;['Centrum'];21.08.2020 21:19
['Magnete zu verschenken'];['Nur Abholung in Münster Handorf'];48157;['Handorf'];21.08.2020 21:04
['Kaputter Fernseher zu verschenken!!!'];['Der ist hingefallen und geht seitdem nicht mehr an.'];48147;['Wienburg'];21.08.2020 20:19
"['""Reserviert"" Zündstoff Spiel']";['Spielen zu verschenken, noch nie benutzt. Nur an Selbstabholer und ohne Garantie'];48165;['Hiltrup'];21.08.2020 20:11
['Kiste mit Büchern zu verschenken'];['Kellerfund', '', 'Ich verschenke eine Kiste mit älteren Büchern.', 'Nur Abholung in Handorf.', 'Nur komplett...'];48157;['Handorf'];21.08.2020 19:28
['Kleiderschrank von Ikea'];['Ich verschenke diesen Kleiderschrank von Ikea. Leider ist er sehr schlecht zusammengebaut worden...'];48163;['Mecklenbeck'];21.08.2020 17:58
['Kletterschuhe Red Chili Gr. 40'];['Ich habe beim Ausmisten meine alten Kletterschuhe wiedergefunden. Eigentlich noch super in Schuss,...'];48145;['Mauritz'];21.08.2020 16:59
['RESERVIERT: ZU VERSCHENKEN Herd + Ofen (FUNKTIONSTÜCHTIG)'];['Wir bekommen vom Vermieter eine neue Küche und müssen daher unsere alte rausräumen.', 'Habe noch einen...'];48149;['Centrum'];21.08.2020 15:58
['Warcraft III + TFT'];['Biete hier 2x Mal Warcraft 3 mit der Erweiterung The Frozen Throne'];48165;['Hiltrup'];21.08.2020 15:01
['Zwei bebivita Gläser verschlossen! Zu verschenken'];['Haltbar bis 31.08.2021', 'Verschlossen! Nur an Selbstabholer.'];48147;['Centrum'];21.08.2020 14:02
['Fertigarzneimittelkunde 7. Auflage'];['Verkaufe mein Fertigarzneimittelbu\u200bch aus der PTA Ausbildung'];48165;['Hiltrup'];21.08.2020 13:28
['DVD Leerhüllen 110 Stück (Doppelt und Einzeln)'];['110 DVD Leerhüllen. Ich denke ca 30 sind Doppelhüllen, der Rest sind Einzelhüllen. Alle sind in...'];48147;['Centrum'];21.08.2020 11:20
['*Reserviert*Kleiderschrank rot - zum Selbstabbauen 26./27.08.'];['Ich verschenke hier meinen Kleiderschrank in rot (ohne Inhalt natürlich).', 'Dazu gehören noch die...'];48151;['Geist'];21.08.2020 11:15
['Nachfüllkugeln Styroporkugeln für Sitzsack'];['Ca. 100 ltr Nachfüllkugeln für Sitzsack'];48161;['Roxel'];21.08.2020 10:35
['Ektorp sofa ikea grau dreisitzer'];['Super Zustand, wird wegen Umzug abgegeben.', 'Muss bis Samstag früh abgeholt werden.', 'Maße auf dem...'];48159;['Centrum'];19.08.2020   2020-08-21
['Pfefferminze Mentha × piperita 3 Ableger'];['3 bewurzelte Ableger zwischen 25 und 40 cm lang.'];48155;['Centrum'];19.08.2020   2020-08-21
['Pumps in pink - Gr. 37 *Reserviert *'];['Nur an Selbstabholer'];48167;['Gremmendorf'];19.08.2020   2020-08-21
['Sitzkissen sitzsack hocker'];['Wie Fatboy Sitzsack in klein, perfekt zum Füße ablegen oder sitzen. Sehr leicht, weil er mit...'];48159;['Centrum'];18.08.2020   2020-08-21
['2 Glasschüsseln BLANDA - IKEA'];['Ich habe zwei Glasschüsseln abzugeben - fast neuwertig. Die Schüsseln sind max. fünf Mal benutzt...'];48155;['Centrum'];17.08.2020   2020-08-21
['Gartenstühle balkonstühle'];['Müssen heute (Freitag) abgeholt werden. Allerspätestens morgen früh bis 10 Uhr.', '', 'Das Gestell ist...'];48159;['Centrum'];17.08.2020   2020-08-21
['Rückenwärmer Heizdecke zu verschenken'];['Heizdecke für Rücken. Voll funktionstüchtig. Selten genutzt.', '', 'Abzuholen Nähe Hafen', '', 'Tierfreier...'];48155;['Centrum'];17.08.2020   2020-08-21
['Heizdecke Schulter-Nacken zu verschenken'];['Gut erhaltene Heizdecke für Schulter Nacken von Lidl. Voll funktionstüchtig!', 'Abzuholen Nähe...'];48155;['Centrum'];17.08.2020   2020-08-21
['Stofftier: Möhre und Brokkoli'];['Verkaufe Stofftiere - Möhre und Brokkoli.', 'Top Zustand.', 'Preis ist für beide...'];48143;['Centrum'];16.08.2020   2020-08-21
['IKEA Malm Bett (nur das Gestell)'];['Rahmen eines IKEA Malm Bettes.', 'Matratze und Lattenrost sind NICHT dabei', 'Das Bett hat noch einen...'];48145;['Mauritz'];15.08.2020   2020-08-21
['Bild groß  guter Zustand'];['Guten Zustand'];48159;['Centrum'];15.08.2020   2020-08-21
['Öllbild.  groß'];['Normaler Zustand'];48159;['Centrum'];15.08.2020   2020-08-21
['Garderobe für Kinder Zimmer oder für Schmuck'];['Guter Zustand'];48159;['Centrum'];15.08.2020   2020-08-21
['IKEA Pjätteryd Bilder 3 Stück Paris New York London'];['Die Bilder befinden sich in einem guten Zustand. Keine Risse, Flecken oder Kratzer. Sie lassen sich...'];48155;['Centrum'];15.08.2020   2020-08-21
['Heizkörper gebraucht glatt 600x1400'];['2 Gebrauchter Heizkörper - Anschlüsse rechts unten Abholung in Münster'];48155;['Mauritz'];13.08.2020   2020-08-21
['Waschtrockner - Siemens wash and dry 1220'];['Wir verkaufen unseren alten Waschtrockner! Vor 1,5 Jahren ist er mit uns nach Münster gezogen und...'];48155;['Centrum'];13.08.2020   2020-08-21
['Weiße Kommode'];['Ich verschenke meine weiße Kommode mit Glaseinsatz und zwei geräumigen Schubladen.', 'Trotz ihrer...'];48159;['Centrum'];12.08.2020   2020-08-21
['Schlafsofa mit Bettkasten'];['Verschenke Schlafsofa mit Bettkasten. Der Bezug kann gewaschen/getau\u200bscht werden. Abholung am...'];48151;['Geist'];22.08.2020 14:39
['Kinder roller'];['Alles zusammen'];48167;['Angelmodde'];22.08.2020 14:22
['Zeitungsständer'];['Gold-farbener Zeitungsständer aus Metall', 'War mal ein Sperrmüllfund', 'Hängt ein wenig durch, aber...'];48153;['Centrum'];22.08.2020 14:15
['Zwei Wurzeln'];['2 Wurzeln zu verschenken'];48147;['Wienburg'];22.08.2020 14:13
['Aufklappbare Unterlage'];['Als Laptop Unterlage fürs Bett'];48153;['Centrum'];22.08.2020 14:08
['Brimnes Bett 160x200cm'];['Ich verschenke hier mein gebrauchtes Ikea Brimnes Bett in weiß. Es ist 160x200cm groß. Zum...'];48155;['Centrum'];22.08.2020 14:07
['Reserviert versch Schwerlastregal Kellerregal Abstellkammer Regal'];['Verschenke Regal mit Gebrauchtspuren.', 'Tierfreier nichtraucher Haushalt.', 'Abholung morgen Sonntag den...'];48163;['Albachten'];22.08.2020 14:00
['Verschenke Garderobe'];['Verschenke Garderobe mit Gebrauchtspuren und Macken. Voll funktionsfähig', 'Tierfreier nichtraucher...'];48163;['Albachten'];22.08.2020 13:59
['Gebrauchtes Tefal Topfset zu verschenken'];['Siehe Fotos. Für Induktion geeignet.', '', 'Nur Abholung am Nachmittag/Aben\u200bd. Ab Montag 24.8.'];48151;['Geist'];22.08.2020 13:56
['Radio-Tischchen'];['Höhe 52 Breite 40 Tiefe 56', '', 'Habe ich mal beim Sperrmüll gefunden', 'Ich denke nicht, dass er...'];48153;['Centrum'];22.08.2020 13:49
['Vtech VSmile Spiel Cars'];['VT Spiel Cars'];48161;['Gievenbeck'];22.08.2020 13:45
['Verschenke 6 Regalbretter schwarz lackiert'];['Breite 20cm, Länge 60cm, Stärke 2cm'];48153;['Centrum'];22.08.2020 13:43
['Logitech Box'];['Ursprünglich für IPod und IPhones für den alten Anschluss bevor es Lightning Anschlüsse...'];48153;['Centrum'];22.08.2020 13:41
['Reserviert Verschenke Fußbodenmatte Fußabstreifer Gummi Vintage'];['Verschenke abgebildete Matte mit Gebrauchtspuren.', 'Tierfreier nichtraucher Haushalt.', 'Abholung morgen...'];48163;['Albachten'];22.08.2020 13:40
['Estrich Beton zu verschenken'];['Nach Bauarbeiten übrig geblieben'];48161;['Gievenbeck'];22.08.2020 13:39
['Reaerviert Verschenke Wohnzimmerlampe'];['Verschenke Lampe Tischlampe mit Gebrauchtspuren und Macken.', 'Dimmfunktion geht bei uns leider nicht...'];48163;['Albachten'];22.08.2020 13:39
